transaction_id,customer_id,source_account,beneficiary_account,timestamp,amount,channel,location,device_id,days_since_last_txn,account_status,kyc_risk,is_international,customer_avg_amount,previous_alerts,story
TXN-CRIT-007,CUS-2014,ACC-1014,ACC-1021,2026-07-28 12:05:00,600000.0,Mobile Banking,Delhi,DEV-889,0,Active,High,False,40000.0,2,Circular flow
TXN-CRIT-006,CUS-2006,ACC-1006,ACC-1014,2026-07-28 11:35:00,620000.0,Mobile Banking,Delhi,DEV-889,0,Active,High,False,40000.0,2,Layering chain
TXN-CRIT-005,CUS-2031,ACC-1031,ACC-1006,2026-07-28 11:00:00,650000.0,Mobile Banking,Delhi,DEV-889,0,Active,High,False,40000.0,2,Layering chain
TXN-CRIT-004,CUS-2021,ACC-1021,ACC-1033,2026-07-28 10:27:00,184000.0,Mobile Banking,Delhi,DEV-777,0,Active,High,False,40000.0,2,Rapid outgoing movement
TXN-CRIT-003,CUS-2021,ACC-1021,ACC-1014,2026-07-28 10:08:00,210000.0,Mobile Banking,Delhi,DEV-777,0,Active,High,False,40000.0,2,Rapid outgoing movement
TXN-CRIT-002,CUS-2021,ACC-1021,ACC-1006,2026-07-28 09:42:00,250000.0,Mobile Banking,Delhi,DEV-777,0,Active,High,False,40000.0,2,Rapid outgoing movement
TXN-CRIT-001,CUS-2021,ACC-1021,ACC-1031,2026-07-28 09:05:00,700000.0,Mobile Banking,Delhi,DEV-777,286,Dormant,High,False,40000.0,2,Dormant account receives high-value credit
TXN-10320,CUS-2009,ACC-1009,ACC-1013,2026-07-28 09:00:00,14936.07,NEFT,Delhi,DEV-009,6,Active,Low,False,16335.33,1,Normal
TXN-10110,CUS-2018,ACC-1018,ACC-1006,2026-07-28 07:00:00,16854.35,NEFT,Lucknow,DEV-018,4,Active,Low,False,19600.1,2,Normal
TXN-10036,CUS-2021,ACC-1021,ACC-1009,2026-07-28 07:00:00,8717.22,NEFT,Chennai,DEV-021,14,Active,High,False,10070.73,0,Normal
TXN-10358,CUS-2000,ACC-1000,ACC-1009,2026-07-28 07:00:00,13280.03,Mobile Banking,Lucknow,DEV-000,2,Active,Low,False,15700.12,1,Normal
TXN-10010,CUS-2039,ACC-1039,ACC-1008,2026-07-28 06:00:00,19192.23,NEFT,Delhi,DEV-039,4,Active,High,False,17264.46,0,Normal
TXN-10327,CUS-2035,ACC-1035,ACC-1000,2026-07-28 03:00:00,50984.85,RTGS,Lucknow,DEV-035,13,Active,Low,False,52041.06,1,Normal
TXN-10144,CUS-2022,ACC-1022,ACC-1007,2026-07-28 02:00:00,37407.25,NEFT,Jaipur,DEV-022,0,Active,High,False,48149.71,1,Normal
TXN-10269,CUS-2002,ACC-1002,ACC-1009,2026-07-28 01:00:00,22551.13,Branch,Mumbai,DEV-002,0,Active,High,False,27230.31,0,Normal
TXN-10104,CUS-2035,ACC-1035,ACC-1027,2026-07-27 20:00:00,11434.45,Internet Banking,Pune,DEV-035,7,Active,Low,True,8521.64,1,Normal
TXN-10127,CUS-2013,ACC-1013,ACC-1011,2026-07-27 19:00:00,40068.39,Mobile Banking,Pune,DEV-013,9,Active,Low,False,27582.96,1,Normal
TXN-10031,CUS-2022,ACC-1022,ACC-1037,2026-07-27 17:00:00,15543.5,Internet Banking,Delhi,DEV-022,8,Active,Medium,False,13887.8,1,Normal
TXN-10025,CUS-2021,ACC-1021,ACC-1001,2026-07-27 15:00:00,9113.97,RTGS,Mumbai,DEV-021,16,Active,Low,False,12845.5,2,Normal
TXN-10061,CUS-2009,ACC-1009,ACC-1002,2026-07-27 14:00:00,37782.16,RTGS,Delhi,DEV-009,13,Active,High,False,25847.86,2,Normal
TXN-10043,CUS-2033,ACC-1033,ACC-1021,2026-07-27 13:00:00,24583.85,RTGS,Chennai,DEV-033,8,Active,Medium,False,21547.59,1,Normal
TXN-10097,CUS-2017,ACC-1017,ACC-1016,2026-07-27 10:00:00,6514.51,NEFT,Pune,DEV-017,9,Active,High,False,5536.24,0,Normal
TXN-10359,CUS-2011,ACC-1011,ACC-1036,2026-07-27 10:00:00,16124.13,RTGS,Delhi,DEV-011,16,Active,High,False,18980.12,2,Normal
TXN-10351,CUS-2035,ACC-1035,ACC-1033,2026-07-27 09:00:00,58505.12,ATM,Lucknow,DEV-035,6,Active,Medium,False,73998.57,1,Normal
TXN-10086,CUS-2032,ACC-1032,ACC-1017,2026-07-27 09:00:00,12052.49,ATM,Lucknow,DEV-032,17,Active,Low,False,15351.14,2,Normal
TXN-10228,CUS-2039,ACC-1039,ACC-1032,2026-07-27 09:00:00,11192.96,Mobile Banking,Lucknow,DEV-039,17,Active,Medium,False,11390.39,0,Normal
TXN-10259,CUS-2028,ACC-1028,ACC-1037,2026-07-27 08:00:00,8352.38,Branch,Jaipur,DEV-028,10,Active,High,False,9090.19,2,Normal
TXN-10254,CUS-2031,ACC-1031,ACC-1033,2026-07-27 04:00:00,8565.53,ATM,Jaipur,DEV-031,15,Active,High,False,7807.62,0,Normal
